time_s,reference_position_m,current_position_m
15.570086,0.250000,0.111109
15.580131,0.250000,0.113609
15.590133,0.250000,0.116109
15.600083,0.250000,0.118609
15.610632,0.250000,0.121109
15.620520,0.250000,0.123359
15.630773,0.250000,0.126109
15.640170,0.250000,0.128609
15.650696,0.250000,0.130859
15.660167,0.250000,0.133609
15.670061,0.250000,0.136109
15.680130,0.250000,0.138609
15.690084,0.250000,0.141109
15.700223,0.250000,0.143609
15.710120,0.250000,0.146109
15.720114,0.250000,0.148609
15.730137,0.250000,0.151109
15.740297,0.250000,0.153359
15.750078,0.250000,0.156109
15.760120,0.250000,0.158609
15.770777,0.250000,0.161109
15.780268,0.250000,0.163359
15.790118,0.250000,0.166109
15.800122,0.250000,0.168609
15.810122,0.250000,0.171109
15.820122,0.250000,0.173609
15.830531,0.250000,0.175859
15.840900,0.250000,0.178609
15.850089,0.250000,0.181109
15.860137,0.250000,0.183359
15.870270,0.250000,0.185859
15.880121,0.250000,0.188609
15.890438,0.250000,0.191109
15.900107,0.250000,0.193609
15.910345,0.250000,0.196109
15.920142,0.250000,0.198609
15.930796,0.250000,0.200859
15.940556,0.250000,0.203359
15.950860,0.250000,0.205859
15.960119,0.250000,0.208609
15.970130,0.250000,0.211109
15.980222,0.250000,0.213609
15.990405,0.250000,0.216109
16.000157,0.250000,0.218359
16.010764,0.250000,0.220859
16.020093,0.250000,0.223609
16.030140,0.250000,0.226094
16.040117,0.250000,0.228555
16.050133,0.250000,0.230984
16.060105,0.250000,0.233363
16.070206,0.250000,0.235445
16.080414,0.250000,0.237903
16.090081,0.250000,0.240038
16.100328,0.250000,0.241851
16.110226,0.250000,0.243937
16.120209,0.250000,0.245531
16.130135,0.250000,0.247322
16.140149,0.250000,0.248805
16.150268,0.250000,0.250137
16.160081,0.250000,0.251328
16.170661,0.250000,0.252378
16.180171,0.250000,0.253291
16.190407,0.250000,0.253999
16.200218,0.250000,0.254664
16.210304,0.250000,0.255210
16.220818,0.250000,0.255637
16.230486,0.250000,0.255953
16.240161,0.250000,0.256182
16.250166,0.250000,0.256288
16.260117,0.250000,0.256307
16.270182,0.250000,0.256248
16.280467,0.250000,0.256120
16.290464,0.250000,0.255951
16.300116,0.250000,0.255685
16.310116,0.250000,0.255395
16.320294,0.250000,0.255068
16.330289,0.250000,0.254710
16.340227,0.250000,0.254327
16.350164,0.250000,0.253927
16.360121,0.250000,0.253514
16.370139,0.250000,0.253095
16.380124,0.250000,0.252675
16.390130,0.250000,0.252257
